latitude_dd,longitude_dd,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,siteNotes,latitude,longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_types,hwm_qualities,marker,vertical_datums,approval,event,site,peak_summary,files,horizontal_datums,horizontal_collect_methods,vertical_collect_methods,survey_member,flag_member,Links,wind
40.7044,-74.0169,Sandy,Mud,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07502,,,,NY,New York County,,Yes,,40.7044,-74.0169,6346,,7502,24,1,2,inside steel storage container,,10,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,68
40.7044,-74.0167,Sandy,Seed line,Fair: +/- 0.20 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07502,,,,NY,New York County,,Yes,,40.7044,-74.0169,6347,,7502,24,5,3,on wooden construction wall,,11,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,68
40.7031,-74.0069,Sandy,Seed line,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07503,,,,NY,New York County,,Yes,,40.7031,-74.0069,6348,,7503,24,5,2,inside window of ferry terminal building,,11.3,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,68
40.705,-74.0067,Sandy,Seed line,Fair: +/- 0.20 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07504,,,,NY,New York County,,Yes,,40.705,-74.0067,6349,,7504,24,5,3,on outside wall of building,,11.1,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,68
40.705,-74.0067,Sandy,Seed line,Fair: +/- 0.20 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07504,,,,NY,New York County,,Yes,,40.705,-74.0067,6350,,7504,24,5,3,on outside wall of building,,11.2,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,68
40.705,-74.0064,Sandy,Mud,Fair: +/- 0.20 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07504,,,,NY,New York County,,Yes,,40.705,-74.0067,6351,,7504,24,1,3,on inside window of building,,11.2,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,68
40.7078,-74.0039,Sandy,Seed line,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07505,,,,NY,New York County,,Yes,,40.7078,-74.0039,6352,,7505,24,5,2,on outside door of Post Office,,11.1,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,68
40.7078,-74.0011,Sandy,Seed line,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07506,,,,NY,New York County,,Yes,,40.7078,-74.0011,6353,,7506,24,5,2,on outside wall of building,,11,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,68
40.7078,-74.0022,Sandy,Mud,Good: +/- 0.10 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07507,,,,NY,New York County,,Yes,,40.7078,-74.0022,6354,,7507,24,1,2,on outside door of building,,11.2,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7078,-74.0022,Sandy,Mud,Excellent: +/- 0.05 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07507,,,,NY,New York County,,Yes,,40.7078,-74.0022,6355,,7507,24,1,1,on outside window of building,,11.1,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
